Date,Temperature,humidity,wind_speed,City
2023-01-01,9.8,86,10.085106382978724,New York
2023-01-02,7.4,82,8.083333333333334,New York
2023-01-03,9.1,95,5.116279069767442,New York
2023-01-04,13.2,94,8.736842105263158,New York
2023-01-05,10.6,94,13.934782608695652,New York
2023-01-06,6.8,88,7.615384615384615,New York
2023-01-07,3.9,69,9.166666666666666,New York
2023-01-08,1.6,67,7.363636363636363,New York
2023-01-09,3.2,78,9.142857142857142,New York
2023-01-10,2.5,67,11.625,New York
2023-01-11,1.3,68,13.083333333333334,New York
2023-01-12,3.8,87,15.966666666666669,New York
2023-01-13,10.2,85,8.606060606060606,New York
2023-01-14,1.6,57,9.65625,New York
2023-01-15,0.6,54,9.615384615384617,New York
2023-01-16,1.3,41,7.208333333333333,New York
2023-01-17,2.3,50,6.407407407407407,New York
2023-01-18,6.5,78,8.75,New York
2023-01-19,4.2,88,10.517241379310343,New York
2023-01-20,5.4,83,10.433333333333334,New York
2023-01-21,3.6,65,9.833333333333334,New York
2023-01-22,1.0,77,10.16,New York
2023-01-23,2.5,94,11.81578947368421,New York
2023-01-24,2.3,65,11.423076923076923,New York
2023-01-25,1.1,80,14.838709677419354,New York
2023-01-26,8.2,76,20.53125,New York
2023-01-27,2.8,63,16.375,New York
2023-01-28,10.11111111111111,44.0,14.24,New York
2023-01-29,8.0,71.0,7.956521739130435,New York
2023-01-30,8.166666666666666,76.0,7.875,New York
2023-01-31,4.84,96.0,9.08,New York
2023-02-01,1.0689655172413792,86.0,12.79310344827586,New York
2023-02-02,1.565217391304348,67.0,12.826086956521738,New York
2023-02-03,-1.1666666666666667,61.0,13.541666666666666,New York
2023-02-04,-8.681818181818182,56.0,9.272727272727272,New York
2023-02-05,1.5217391304347827,67.0,13.826086956521738,New York
2023-02-06,7.166666666666667,79.0,8.416666666666666,New York
2023-02-07,3.083333333333333,70.0,11.208333333333334,New York
2023-02-08,7.125,86.0,9.875,New York
2023-02-09,7.423076923076923,93.0,6.269230769230769,New York
2023-02-10,13.0,80.0,10.045454545454543,New York
2023-02-11,6.625,56.0,10.291666666666666,New York
2023-02-12,4.791666666666667,76.0,7.083333333333333,New York
2023-02-13,8.185185185185185,65.0,13.37037037037037,New York
2023-02-14,9.130434782608695,49.0,8.565217391304348,New York
2023-02-15,11.041666666666666,68.0,8.791666666666666,New York
2023-02-16,13.833333333333334,83.0,8.75,New York
2023-02-17,10.454545454545457,96.0,9.238095238095235,New York
2023-02-18,2.2916666666666665,60.0,10.416666666666666,New York
2023-02-19,5.0,76.0,12.347826086956522,New York
2023-02-20,9.387096774193548,93.0,10.838709677419354,New York
2023-02-21,6.617647058823529,93.0,11.558823529411764,New York
2023-02-22,4.962962962962963,87.0,8.0,New York
2023-02-23,4.40625,97.0,16.21875,New York
2023-02-24,6.217391304347826,100.0,7.903225806451613,New York
2023-02-25,-1.3103448275862069,69.0,8.0,New York
2023-02-26,2.555555555555556,82.0,14.0,New York
2023-02-27,4.75,58.0,9.666666666666666,New York
2023-02-28,2.0232558139534884,100.0,17.488372093023255,New York
2023-03-01,4.48,89.0,11.68,New York
2023-03-02,8.052631578947368,100.0,11.028571428571428,New York
2023-03-03,5.434782608695652,70.0,9.304347826086955,New York
2023-03-04,6.0,100.0,20.04878048780488,New York
2023-03-05,7.0,76.0,8.115384615384615,New York
2023-03-06,7.772727272727272,63.0,7.681818181818182,New York
2023-03-07,4.903225806451613,89.0,8.290322580645162,New York
