City,Date,PM2.5,PM10,O3,NO2,CO,SO2
Cairo,2023-01-01,36.3375,60.34166666666667,33.333333333333336,36.1,337.4166666666667,34.795833333333334
Cairo,2023-01-02,49.37916666666666,78.9375,18.625,46.70416666666667,442.0,55.14166666666667
Cairo,2023-01-03,34.06666666666667,51.824999999999996,24.583333333333332,44.612500000000004,387.0416666666667,48.67083333333333
Cairo,2023-01-04,30.7375,43.02916666666667,38.958333333333336,37.420833333333334,322.1666666666667,42.025
Cairo,2023-01-05,23.145833333333332,34.125,29.041666666666668,48.1625,415.1666666666667,50.4125
Cairo,2023-01-06,21.59583333333333,32.145833333333336,26.875,52.26666666666667,419.2083333333333,50.4375
Cairo,2023-01-07,24.724999999999998,31.55,21.916666666666668,55.24583333333334,463.75,61.54583333333333
Cairo,2023-01-08,22.291666666666668,32.475,26.5,44.791666666666664,401.7916666666667,48.69166666666666
Cairo,2023-01-09,22.745833333333334,31.925,33.708333333333336,44.791666666666664,439.8333333333333,54.17083333333333
Cairo,2023-01-10,44.4625,50.074999999999996,15.0,72.39999999999999,865.75,137.05416666666667
Cairo,2023-01-11,29.754166666666666,37.958333333333336,21.541666666666668,59.895833333333336,535.3333333333334,69.23333333333333
Cairo,2023-01-12,26.6375,47.9125,36.708333333333336,38.40416666666667,312.7083333333333,35.40416666666666
Cairo,2023-01-13,25.0125,41.895833333333336,37.333333333333336,38.449999999999996,304.5833333333333,35.324999999999996
Cairo,2023-01-14,18.8625,34.895833333333336,42.5,30.0625,279.125,27.508333333333336
Cairo,2023-01-15,17.004166666666666,25.3625,33.208333333333336,39.829166666666666,351.5416666666667,40.625
Cairo,2023-01-16,23.9375,48.37083333333334,27.208333333333332,46.28333333333333,404.5833333333333,44.5625
Cairo,2023-01-17,34.275,57.64166666666667,20.625,61.01666666666667,578.2916666666666,89.28750000000001
Cairo,2023-01-18,32.800000000000004,45.475,36.833333333333336,49.80416666666667,426.1666666666667,47.199999999999996
Cairo,2023-01-19,27.120833333333334,36.416666666666664,42.708333333333336,42.0,351.4583333333333,42.295833333333334
Cairo,2023-01-20,35.6875,46.645833333333336,22.958333333333332,63.26666666666667,557.3333333333334,83.80416666666666
Cairo,2023-01-21,45.458333333333336,54.137499999999996,28.708333333333332,60.1625,482.5416666666667,74.12916666666666
Cairo,2023-01-22,34.61666666666667,45.0625,38.083333333333336,45.0875,373.0,46.88333333333333
Cairo,2023-01-23,38.85,51.0625,42.5,38.2125,328.0,41.3375
Cairo,2023-01-24,36.6875,52.23333333333333,49.583333333333336,31.724999999999998,286.2916666666667,36.987500000000004
Cairo,2023-01-25,37.31666666666667,49.42083333333333,51.458333333333336,37.03333333333333,343.4583333333333,38.7875
Cairo,2023-01-26,28.195833333333336,38.2875,56.916666666666664,37.729166666666664,316.4166666666667,34.56666666666667
Cairo,2023-01-27,32.44166666666667,52.708333333333336,55.083333333333336,35.13333333333333,249.95833333333334,33.61666666666667
Cairo,2023-01-28,42.050000000000004,82.34583333333333,45.916666666666664,33.28333333333333,266.25,41.579166666666666
Cairo,2023-01-29,23.666666666666668,41.19166666666667,53.666666666666664,27.541666666666668,236.5,25.59583333333333
Cairo,2023-01-30,29.400000000000002,46.56666666666666,38.291666666666664,41.99583333333333,367.0833333333333,48.175000000000004
Cairo,2023-01-31,24.491666666666664,57.0,53.125,30.729166666666668,269.3333333333333,25.65833333333333
Cairo,2023-02-01,39.666666666666664,124.03750000000001,60.25,21.5,243.95833333333334,20.425
Cairo,2023-02-02,20.8875,34.90833333333333,39.958333333333336,39.19166666666667,387.7916666666667,37.97083333333333
Cairo,2023-02-03,24.9875,38.21666666666667,32.458333333333336,53.675000000000004,452.0416666666667,60.083333333333336
Cairo,2023-02-04,15.583333333333334,29.183333333333334,52.541666666666664,34.00416666666667,283.6666666666667,26.400000000000002
Cairo,2023-02-05,19.575,37.3125,47.666666666666664,36.854166666666664,328.5416666666667,33.762499999999996
Cairo,2023-02-06,43.12916666666666,126.5125,62.166666666666664,14.35,208.91666666666666,16.266666666666666
Cairo,2023-02-07,16.020833333333332,30.791666666666668,51.083333333333336,21.84583333333333,270.4166666666667,20.841666666666665
Cairo,2023-02-08,20.891666666666666,30.96666666666667,37.625,37.137499999999996,369.625,38.266666666666666
Cairo,2023-02-09,31.254166666666666,39.74583333333333,36.666666666666664,54.54583333333333,455.5833333333333,56.9125
Cairo,2023-02-10,25.254166666666666,36.854166666666664,51.291666666666664,39.612500000000004,330.0,36.78333333333333
Cairo,2023-02-11,27.40833333333333,37.90833333333333,55.375,30.066666666666666,293.4166666666667,30.037499999999998
Cairo,2023-02-12,28.308333333333334,36.604166666666664,55.208333333333336,34.47083333333333,335.9583333333333,30.891666666666666
Cairo,2023-02-13,31.308333333333334,40.895833333333336,47.625,41.420833333333334,370.7083333333333,41.94583333333333
Cairo,2023-02-14,34.07083333333333,43.90416666666667,44.708333333333336,46.05833333333334,412.5416666666667,41.895833333333336
Cairo,2023-02-15,30.90833333333333,40.704166666666666,48.375,40.90833333333333,365.7083333333333,42.65416666666667
Cairo,2023-02-16,24.270833333333332,34.958333333333336,49.25,39.05416666666667,339.6666666666667,36.02916666666667
Cairo,2023-02-17,28.933333333333334,39.0,49.041666666666664,36.725,327.1666666666667,30.325
Cairo,2023-02-18,22.858333333333334,29.708333333333332,63.625,24.47083333333333,257.0416666666667,23.954166666666666
Cairo,2023-02-19,22.870833333333334,30.245833333333334,62.583333333333336,26.162499999999998,246.83333333333334,24.391666666666666
Cairo,2023-02-20,25.629166666666666,33.44583333333333,57.083333333333336,34.6,296.25,33.824999999999996
Cairo,2023-02-21,30.6875,43.56666666666666,48.833333333333336,44.395833333333336,351.2916666666667,43.59166666666667
Cairo,2023-02-22,37.833333333333336,52.99166666666667,42.166666666666664,46.5,370.3333333333333,49.46666666666667
Cairo,2023-02-23,36.40416666666667,48.69583333333333,37.458333333333336,48.00833333333333,410.4166666666667,50.28333333333333
Cairo,2023-02-24,40.891666666666666,50.50833333333333,34.916666666666664,49.19583333333333,431.9583333333333,55.87083333333334
Cairo,2023-02-25,37.6,47.7875,43.958333333333336,46.5875,382.0416666666667,47.70416666666667
Cairo,2023-02-26,21.995833333333334,32.80416666666667,61.5,35.2875,297.0416666666667,29.929166666666664
Cairo,2023-02-27,32.170833333333334,52.06666666666666,72.58333333333333,29.479166666666668,281.0833333333333,30.0
